owner,repo,html_url,default_branch,source,selection_reason,sampled_at
taikoxyz,taiko-mono,https://github.com/taikoxyz/taiko-mono,main,github_search_api:rust_active,stratum: active Rust OSS (stars>800),2026-06-23T04:58:20.479118+00:00
edison7009,EchoBird,https://github.com/edison7009/EchoBird,main,github_search_api:rust_active,stratum: active Rust OSS (stars>800),2026-06-23T04:58:20.479240+00:00
Dicklesworthstone,coding_agent_session_search,https://github.com/Dicklesworthstone/coding_agent_session_search,main,github_search_api:rust_active,stratum: active Rust OSS (stars>800),2026-06-23T04:58:20.479276+00:00
itsjunetime,tdf,https://github.com/itsjunetime/tdf,main,github_search_api:rust_active,stratum: active Rust OSS (stars>800),2026-06-23T04:58:20.479288+00:00
rustdesk,rustdesk,https://github.com/rustdesk/rustdesk,master,github_search_api:rust_active,stratum: active Rust OSS (stars>800),2026-06-23T04:58:20.479248+00:00
screenpipe,screenpipe,https://github.com/screenpipe/screenpipe,main,github_search_api:rust_active,stratum: active Rust OSS (stars>800),2026-06-23T04:58:20.479326+00:00
microsoft,fluentui,https://github.com/microsoft/fluentui,master,github_search_api:typescript_active,stratum: active TypeScript OSS (stars>800),2026-06-23T04:58:24.786526+00:00
wevm,vocs,https://github.com/wevm/vocs,main,github_search_api:typescript_active,stratum: active TypeScript OSS (stars>800),2026-06-23T04:58:24.786357+00:00
rmyndharis,OpenWA,https://github.com/rmyndharis/OpenWA,main,github_search_api:typescript_active,stratum: active TypeScript OSS (stars>800),2026-06-23T04:58:24.786260+00:00
anomalyco,opencode,https://github.com/anomalyco/opencode,dev,github_search_api:typescript_active,stratum: active TypeScript OSS (stars>800),2026-06-23T04:58:24.786225+00:00
jaegertracing,jaeger-ui,https://github.com/jaegertracing/jaeger-ui,main,github_search_api:typescript_active,stratum: active TypeScript OSS (stars>800),2026-06-23T04:58:24.786383+00:00
xintaofei,codeg,https://github.com/xintaofei/codeg,main,github_search_api:typescript_active,stratum: active TypeScript OSS (stars>800),2026-06-23T04:58:24.786441+00:00
misskey-dev,misskey,https://github.com/misskey-dev/misskey,develop,github_search_api:typescript_active,stratum: active TypeScript OSS (stars>800),2026-06-23T04:58:24.786573+00:00
dyoshikawa,rulesync,https://github.com/dyoshikawa/rulesync,main,github_search_api:typescript_active,stratum: active TypeScript OSS (stars>800),2026-06-23T04:58:24.786402+00:00
Datus-ai,Datus-agent,https://github.com/Datus-ai/Datus-agent,main,github_search_api:python_active,stratum: active Python OSS (stars>800),2026-06-23T04:58:10.567574+00:00
BuilderIO,agent-native,https://github.com/BuilderIO/agent-native,main,github_search_api:typescript_active,stratum: active TypeScript OSS (stars>800),2026-06-23T04:58:24.786450+00:00
